Name,Value,Unit,Source
CapsuleRadius,40,cm,05 §1
CapsuleHalfHeight,96,cm,05 §1
BaseEyeHeight,76,cm above capsule center,05 §1
DefaultFOV,100,deg,05 §1
ViewmodelFOV,75,deg,05 §1
MaxWalkSpeed,950,cm/s,05 §2
MaxAcceleration,6000,cm/s2,05 §2
BrakingDecelerationWalking,4500,cm/s2,05 §2
GroundFriction,8,,05 §2
MaxStepHeight,45,cm,05 §2
WalkableFloorAngle,46,deg,05 §2
GravityScale,2.2,,05 §3
JumpZVelocity,810,cm/s,05 §3
DoubleJumpZVelocity,760,cm/s,05 §3
DoubleJumpRedirect,0.7,fraction,05 §3
AirControl,0.85,,05 §3
TerminalFallSpeed,4000,cm/s,05 §3
CoyoteTime,0.12,s,05 §3
JumpBufferTime,0.15,s,05 §3
SurgeCharges,2,,05 §4
SurgeRecharge,1.25,s,05 §4
SurgeDistance,600,cm,05 §4
SurgeDuration,0.15,s,05 §4
SurgeExitSpeed,1250,cm/s,05 §4
MantleMinHeight,60,cm above feet,05 §5
MantleMaxHeight,130,cm above feet,05 §5
MantleDuration,0.25,s,05 §5
HarrowRange,3000,cm,07 §1
HarrowPullSpeed,3000,cm/s,07 §1
HarrowAimCone,6,deg,07 §1
HarrowSlingshotUp,500,cm/s,05 §6
HarrowCharges,3,,04 §5.2
HarrowRegen,12,s,04 §5.2
SwingPoleLaunchForward,1400,cm/s,05 §6
SwingPoleLaunchUp,700,cm/s,05 §6
GripClimbSpeed,450,cm/s,05 §6
GripLateralSpeed,300,cm/s,05 §6
GripJumpOut,700,cm/s,05 §6
GripJumpUp,600,cm/s,05 §6
GrindSpeed,1600,cm/s,05 §6
DownbeatMinHeight,250,cm,05 §7
DownbeatSpeed,4500,cm/s,05 §7
DownbeatRadiusMin,300,cm,05 §7
DownbeatRadiusMax,700,cm,05 §7
DownbeatDamageMin,80,,05 §7
DownbeatDamageMax,250,,05 §7
SlamJumpVelocity,1000,cm/s,05 §7
BaseHealth,100,,04 §2
BasePlating,50,,04 §2
PunchDamage,25,,04 §9.1
PunchInterval,0.35,s,04 §9.1
BreakdownReach,400,cm,04 §4
BreakdownLungeSpeed,3500,cm/s,04 §4
DistortRange,700,cm,04 §6
DistortAngle,70,deg,04 §6
DistortDamage,30,,04 §6
DistortCooldown,22,s,04 §6
DistortedDuration,8,s,04 §6
FragCooldown,12,s,07 §2
FragDamage,320,,07 §2
FragRadius,450,cm,07 §2
HushRadius,500,cm,07 §3
HushDuration,4,s,07 §3
HushCooldown,20,s,07 §3
PowerChordDamage,600,,07 §6
PowerChordRange,300,cm,07 §6
GainMax,100,,04 §8
GainDecayDelay,4,s,04 §8
GainDecayRate,4,per s,04 §8
OverdriveDuration,12,s,04 §8
OverdriveDamageReduction,0.4,,04 §8
OverdriveFireRateBonus,0.25,,04 §8
ResourceMagnetRadius,600,cm,04 §5.1
ResourceMagnetSpeed,2200,cm/s,04 §5.1
WeaponSwitchTime,0.18,s,05 §10.5
