Name,DisplayName,Slot,FireModel,DamageType,DamagePerHit,PelletsPerShot,ShotsPerSecond,SpreadDeg,FalloffFull,FalloffMid,FalloffMidMult,FalloffFar,FalloffFarMult,HeadMult,AmmoType,AmmoPerShot,ProjectileSpeed,SplashDamage,SplashRadius,MagSize,ReloadTime,SpinUpTime,PierceCount,ChainTargets,ChainRange,ChainMult,ShieldMult,SwitchTime,Acquired,Notes
WPN_Breacher,Breacher,1,Hitscan,Damage.Type.Kinetic,14,10,1.176,7,800,1600,0.5,2500,0.2,1.25,Ammo.Shells,1,0,0,0,0,0,0,0,0,0,0,1,0.18,M01,Pump cycle 0.85 s; point-blank knockback on T1
WPN_Riveter,Riveter,2,Hitscan,Damage.Type.Kinetic,48,1,5,0.8,5000,8000,0.8,10000,0.5,1.5,Ammo.Rounds,1,30000,0,0,0,0,0,0,0,0,0,1,0.18,M01,Visual tracer 30000 cm/s; spread blooms to 2.5 deg after 1 s
WPN_StaticRifle,Static Rifle,3,Projectile,Damage.Type.Energy,18,1,14,1.2,3000,5000,0.8,8000,0.5,1.5,Ammo.Charge,0.5,12000,0,0,0,0,0,0,0,0,0,3,0.18,M02,"Heat +4/bolt, -40/s; vent 0.8 s at 100"
WPN_Gravedigger,Gravedigger,4,Hitscan,Damage.Type.Kinetic,20,20,0.87,10,600,1200,0.4,2000,0.1,1.25,Ammo.Shells,2,0,0,0,0,0,0,0,0,0,0,1,0.18,M03,Both barrels per shot; cycle 1.15 s incl. reload; spread 10x6 ellipse
WPN_Hammerfall,Hammerfall,5,Projectile,Damage.Type.Explosive,180,1,1.11,0,99999,99999,1,99999,1,1,Ammo.Ordnance,1,3600,140,350,4,0.8,0,0,0,0,0,1.5,0.18,M04,"Full splash within 100 cm; self-damage 25% (0% Lullaby/Unplugged, 35% Deafening/Unsung); flyers take x1.25 splash"
WPN_Shredder,Shredder,6,Hitscan,Damage.Type.Kinetic,22,1,20,1.5,4000,6000,0.8,8000,0.5,1.5,Ammo.Rounds,1,0,0,0,0,0,0.5,0,0,0,0,1,0.18,M05,Spread 1.5 -> 3 deg after 2 s; fires at 50% rate during spin-up
WPN_ArcCoil,Arc Coil,7,Chain,Damage.Type.Energy,30,1,10,5,1800,1800,1,1800,0,1,Ammo.Charge,0.5,0,0,0,0,0,0,0,3,700,0.6,3,0.18,M06,Auto-lock cone 5 deg; x1.25 vs flyers; x0.7 vs T3
WPN_Lance,Lance,8,Hitscan,Damage.Type.Energy,700,1,0.625,0,99999,99999,1,99999,1,2,Ammo.Charge,10,0,0,0,0,0,0,99,0,0,0,3,0.18,M10,Pierces all enemies (-15% per enemy pierced)
WPN_Ripsaw,Ripsaw,9,Projectile,Damage.Type.Blade,220,1,1.54,0,99999,99999,1,99999,1,1.5,Ammo.Ordnance,0.5,2800,0,0,0,0,0,0,0,0,0,1,0.18,M12,Ricochets 3x (-15% per bounce); passes through T1 it kills; blades retrievable
WPN_Silencer,The Silencer,10,Projectile,Damage.Type.Silence,5000,1,0.5,0,99999,99999,1,99999,1,1,Ammo.NullCell,1,1200,1500,1500,0,0,0.8,0,0,0,0,1,0.4,M09,Tendrils 600 dmg/0.2 s within 2500 cm while traveling; bosses max 2000 per shot
WPN_Axe,The Axe,11,Melee,Damage.Type.Blade,999999,1,1.1,0,600,600,1,600,1,1,Ammo.Grudge,1,0,0,0,0,0,0,0,0,0,0,1,0.4,M21,Kills any non-boss; bosses 1500; costs 1 Grudge per kill only
WPN_Larynx,The Larynx,12,Projectile,Damage.Type.Sonic,45,1,12,2,5000,5000,1,5000,1,1,Ammo.Voice,1,6000,0,0,0,0,0,0,0,0,0,1,0.3,RQG,Homing notes; the Host takes x1.5 via Res_Sonic; ammo only from Inhale
